מונח,תמונה_נוכחית,ממדים,upscale,bleed_תקין,חלופות_bleed,תמונות_לא_מתאימות
דיפ סטייט,"הפגנת ימין נגד הפצ""רית",2400×1603,0.8,כן,"השלט ""רבונו של עולם תהרוג את גלי בהרב מיארה״ (1280×1280, ×1.5) | בנימין נתניהו (1600×1067, ×1.2)",—
הגדה המערבית,חיילים בגדה המערבית,2048×1365,0.94,כן,"ח׳אן אל־אחמר (2200×1279, ×0.87) | הגדה המערבית (1536×1024, ×1.25)",—
ההפיכה המשטרית,מפגינים באיילון במחאה נגד ההפיכה המשטרית,1600×1067,1.2,כן,"תומכי ההפיכה המשטרית מפגינים בקריית הממשלה בירושלים (1600×900, ×1.2) | כרזת נתניהו כפרעה, ההפגנה נגד המהפכה המשטרית (1200×900, ×1.6)",—
הוצאה להורג,"כרוז אצ""ל על הוצאות להורג של מלשינים",1428×1072,1.34,כן,"משפט אדולף אייכמן (1300×866, ×1.48)","איתמר בן גביר חוגג עם שמפנייה לאחר שעבר חוק עונש מוות למחבלים (1000×562, ×1.92)"
הכיבוש,חיילי צה״ל מונעים מתושבי חברון להתפלל באלחרם אלאיבראהימי,2500×1667,0.77,כן,"הגוש נגד הכיבוש בשטח ההפגנה נגד ההפיכה המשטרית בקפלן (1500×872, ×1.28) | מחסום חווארה (1500×872, ×1.28)",—
המגזר הערבי,הפגנה בחיפה נגד האלימות במגזר הערבי,3000×1636,0.66,כן,"הפגנה מול ‏משרד ראש הממשלה בעקבות הפשיעה בחברה הערבית (1600×1069, ×1.2) | 'מועדון קשישים' לנשות המגזר הערבי בנווה ירק (1280×960, ×1.5)",—
המרד הערבי הגדול,חיילים ושוטרים בריטים בפעולות ביטחון בירושלים וברחבי הארץ,2112×1512,0.91,כן,"ילדי משפחות שבתיהן נהרסו על ידי ערבים, מקבלים מחסה בתל אביב (1600×1067, ×1.2)","שרידי אוטובוס שהסיע נוסעים יהודים ונשרף בפעולת טרור בבלד א־שיח' (864×616, ×2.22)"
הנכבה,צעדת השיבה של פלסטינים בישראל לציון 75 שנה לנכבה,1600×1069,1.2,כן,"הצבת השלט ""אליקים"" במקום בו היה הכפר הערבי אום א־זינאת (1600×1067, ×1.2) | ימי הנכבה (1500×872, ×1.28)",—
הסברה,אילון לוי,3000×2000,0.64,כן,"הפגנת תמיכה בישראל בטיימס סקוור (3000×2000, ×0.64) | נועה תשבי (1600×1066, ×1.2)",—
הסכסוך,"ילדים פלסטינים מול כוחות צה""ל ליד בית לחם",2280×1555,0.84,כן,"""נערי גבעות"" ביהודה ושומרון (1920×1080, ×1) | חגיגות ברמאללה לאחר ההכרה באו”ם (1500×1000, ×1.28)",—
הסלמה,חאן יונס,2048×1365,0.94,כן,"תקיפה ישראלית בלבנון (1500×872, ×1.28) | טנקים צה״ליים ברצועת עזה (1600×800, ×1.35)",—
הפגנות,מיצג בהפגנה בתל אביב,2400×1603,0.8,כן,"הפגנה של חרדים נגד הגיוס, בכביש 4 (1500×872, ×1.28) | מפגינים למען השבת החטופים ונגד הממשלה בצומת עזריאלי בתל אביב (1500×872, ×1.28)",—
הפרעות סדר,חרדים חוסמים את הכניסה לירושלים,2400×1395,0.8,כן,"שוטרים מול מתפרעים בהפגנת אריתראים בדום ת״א (2200×1279, ×0.87)",—
הקו הירוק,גדר ההפרדה,1500×1000,1.28,כן,"סימון הקו הירוק (1500×1000, ×1.28) | סימונים של הקו הירוק באזור מכבים (1500×872, ×1.28)",—
הרג אזרחים,ההרס בקיבוץ בארי,4000×2667,0.48,כן,"ילדה פלסטינית בבית ספר שהפך למחסה לפליטים בעיר עזה (1600×1067, ×1.2) | מתחם פסטיבל נובה בחניון רעים (1500×872, ×1.28)",—
הרפורמה המשפטית,יריב לוין,3273×2182,0.59,כן,"הפגנת תמיכה ברפורמה המשפטית בתל אביב  (1600×1065, ×1.2) | מפגינים בעד הרפורמה המשפטית (1280×960, ×1.5)",—
הרתעה,הפצצות בטהרן,3000×2000,0.64,כן,"הפצצות צה״ל בעיר עזה (3000×1877, ×0.64) | פינוי פצועים בלבנון (1500×872, ×1.28)",—
השטחים הכבושים,בית הרוס בכפר זנותא,1601×931,1.2,כן,"פלסטינים בוחנים מכונית שהוצתה בביתא (1200×802, ×1.6)","מאחז סמוך לביר־זית ביהודה ושומרון (1026×684, ×1.87)"
התיישבויות,לימור סון הר מלך ביהודה ושומרון,1600×1200,1.2,כן,"שלטי בנייה ונדל""ן בגדה המערבית (1500×1002, ×1.28) | חוות צאן של מתנחלים ישראלים בגדה המערבית (1296×730, ×1.48)",—
התנחלויות,ההתנחלות שבות רחל באזור רמאללה,1500×872,1.28,כן,"צעדת מחאה של מתנחלים בחומש (1500×872, ×1.28) | היישוב אפרת (1200×675, ×1.6)",—
התנקשות,גרפיטי בתל אביב אחרי ההתנקשות בנסראללה,2560×1707,0.75,כן,"איסמעיל הנייה (1600×1119, ×1.2)","מחאה בטהרן נגד ישראל וארה""ב לאחר ההתנקשות בנציג איראני בסוריה (1149×760, ×1.67)"
התנתקות,חיילים מול צעדת המחאה נגד תוכנית ההתנתקות,2539×1678,0.76,כן,"מתנגדות לפינוי חוסמות את הכניסה לנווה דקלים (1215×690, ×1.58) | עימות בין כוחות הביטחון למתבצרים על גג בית הכנסת בכפר דרום  (1215×690, ×1.58)",—
חומת ההפרדה,ילד פלסטיני ליד חומת ההפרדה,3000×2000,0.64,כן,"החומה בשכונת א־טור שבמזרח ירושלים (1500×1154, ×1.28) | מתפלל בסמוך לקבר רחל (1500×1154, ×1.28)",—
חוסל,חסן נסראללה,2310×1671,0.83,כן,"יחיא סינוואר (2400×1603, ×0.8) | כוחות אוגדה 98 בלחימה במרחב חאן יונס - חיסול מחבלים והשמדת תשתיות טרור במרחב (1200×800, ×1.6)",—
חוק הגיוס,מדור בני ישיבות בלשכת הגיוס,1600×1067,1.2,כן,"ההצבעה על דין רציפות חוק הגיוס (1290×860, ×1.49)","חרדים חוסמים את כביש 4 במחאה על חוק הגיוס (1024×640, ×1.88)"
חטופים,הפגנה בכיכר החטופים בתל אביב,2400×1395,0.8,כן,"תיעוד התצפיתניות החטופות שפרסמו המשפחות (2048×1191, ×0.94) | עופר קלדרון ברגע האיחוד עם ילדיו (1600×1066, ×1.2)",—
חיסול,המכתש אחרי תקיפת הבונקר של נסראללה וחיסולו,3000×2000,0.64,כן,"המבנה בו חוסל יחיא סינוואר (1200×900, ×1.6) | אוגדה 146 ביעד חדש בצפון לאחר חיסול עשרות מחבלים  (1200×800, ×1.6)",—
חסם הומניטרי,מחבלי חמאס על משאית חיטה של סיוע הומניטרי,2970×1980,0.65,כן,"חמושים בעזה על משאיות סיוע הומניטרי (2560×1707, ×0.75) | מפגינים חוסמים משאיות סיוע בנמל אשדוד (1280×960, ×1.5)",—
חרבות ברזל,"פינוי פצועים במהלך מלחמת ""חרבות ברזל""",1600×1067,1.2,כן,"חיילי חטיבת כפיר ברצועת עזה (1500×872, ×1.28)",—
טבח,עובדי הצלב האדום מסתכלים על גופה מכוסה בשמיכה זמן קצר לאחר שדחפורים החלו לפנות את השטח במחנה הפליטים סברה בלבנון,2048×1410,0.94,כן,—,"אנדרטה לנספי הטבח בכפר קאסם (968×852, ×1.98) | מגרש המכוניות שהפך לעדות מצמררת לטבח (1024×768, ×1.88)"
טבח דיר יאסין,"בול ירדני שמתאר את ""הטבח בדיר יאסין""",1280×1706,1.5,כן,"תהלוכה של ארגון ""זוכרות"" לציון יום השנה לטבח בדיר יאסין באזור שבו שכן הכפר (1500×872, ×1.28) | לוחמי אצ""ל על הגגות בדיר יאסין  (1200×839, ×1.6)",—
טבח ה־7 באוקטובר,מחבלים פורצים לישראל בשביעי באוקטובר,2280×1520,0.84,כן,"ההרס בקיבוץ כפר עזה  (1600×1067, ×1.2) | ניר עוז, אחרי ה־7 באוקטובר  (1600×784, ×1.38)",—
טיהור אתני,דניאלה וייס באירוע ההתנחלות בעזה סמוך לגדר הגבול עם הרצועה,1600×1067,1.2,כן,"עקורים עוזבים את בית חאנון שברצועה (1500×872, ×1.28) | פלסטינים שנמלטו מבית לאהיא, בצפון רצועת עזה (1500×872, ×1.28)",—
טרור מתנחלים,עימותים בין מתנחלים לפלסטינים בחווארה,3000×2000,0.64,כן,"טרור מתנחלים בתורמוסעיא (1600×900, ×1.2) | תקיפות מתנחלים בגדה (1600×880, ×1.23)",—
טרנספר,"פליטים פלסטינים נמלטים מרפיח, רצועת עזה",1600×1067,1.2,כן,"גרפיטי בעזה (1200×900, ×1.6) | תומך טרנספר בהפגנה בתל אביב (1500×872, ×1.28)",—
טרנספר מרצון,הקהל בכנס הטרנספר ,1500×872,1.28,כן,"עקורים ברפיח שברצועה (1500×872, ×1.28) | דיון מנהלת הטרנספר אצל השר כ""ץ (1280×852, ×1.5)",—
יהודה ושומרון,נוף מהר גריזים,3840×2560,0.5,כן,"מעלה אדומים (2362×1572, ×0.81) | צעדת ימין בצומת תפוח (1280×855, ×1.5)",—
יודונאצים,ישיעיהו ליבוביץ׳,1920×1080,1,כן,"שלט לייבוביץ׳ צדק בהפגנה (1600×1069, ×1.2)","שלט יודנאצים החוצה בהפגנה (1000×667, ×1.92)"
ימנים,הפגנת ימין בירושלים,1500×1001,1.28,כן,"מנחם בגין (1280×859, ×1.5) | ח""כ גלית דיסטל-אטבריאן בהפגנה בכפר המכביה נגד ממשלת בנט-לפיד (1280×720, ×1.5)",—
כיבוש,"חייל צה""ל בפעולה מבצעית בחלחול",1500×1002,1.28,כן,"הפגנת תמיכה בתושבי חווארה (1500×872, ×1.28) | חייל צה""ל בעת מעצר פלסטיני בגדה המערבית (1500×872, ×1.28)",—
כיבוש דיר יאסין,"לוחמי אצ""ל בסימטאות בדיר יאסין ",1165×1600,1.65,כן,"חיילים ישראלים בכפר לפני קום המדינה (1200×668, ×1.62)","הכפר דיר יאסין (1162×600, ×1.8)"
כיבוש צבאי,"רעול פנים עם קצין בדרגת סרן בעוריף, באזור שבו נהרג פלסטיני מאש חיה ",1280×720,1.5,כן,"שגרת כיבוש בחברון (1280×720, ×1.5)","כוחות ביטחון ישראלים במהלך פשיטה בכפר א-תוואני בגדה המערבית (934×643, ×2.06)"
כליאה ללא משפט,הפגנה נגד רצח העם והמעצרים באום אל פחם,1600×1066,1.2,כן,"מעצר חשודים בגדה (1500×872, ×1.28)","מעצר ילדים בגדה (1024×640, ×1.88)"
כניסה קרקעית,חיילי מילואים באימון,2560×1707,0.75,כן,"חטיבת השריון מתרגלת כניסה קרקעית ללבנון (1600×1066, ×1.2) | כוחות צה""ל מתאמנים בגבול הצפון (1203×794, ×1.6)",—
מאורעות תרפ״ט,"חייל בריטי בחזית מרפאת הדסה, חברון",2000×1306,0.96,כן,"הר הבית (1570×1069, ×1.22)","קבוצת פצועים בחיפה (1024×693, ×1.88)"
מאורעות תרצ״ו–תרצ”ט,הנודדת של אורד וינגייט,1600×1071,1.2,כן,"מהומות יפו (1200×879, ×1.6)","ניצני ה""הגנה"". גדודי הנוטרים העבריים בעמק יזרעאל (640×390, ×3)"
מאחזים,טקס הקמת מאחז ביהודה ושומרון,1400×1050,1.37,כן,"המאחז עשהאל (1500×936, ×1.28) | הקמת מאחז סמוך לקריית ארבע (1500×872, ×1.28)",—
מאחזים בלתי חוקיים,מאחז בצומת טייבה,2000×1334,0.96,כן,"המאחז אביגיל בו חלק מהמבנים בו נמצאים בשטח אש ויישארו לא חוקיים (1500×872, ×1.28)","מאחז אביתר שהוקם באופן לא חוקי על אדמות פלסטיניות (724×483, ×2.65)"
מבצע,מבצע שובר גלים,1200×802,1.6,כן,—,"מבצע חומת ברזל (940×846, ×2.04) | משטרה צבאית במעברים (960×640, ×2)"
מבקשי מקלט,מבקשי מקלט במתקן הכליאה חולות,2192×1273,0.88,כן,"הפגנה נגד גירוש מבקשי מקלט (1920×1080, ×1) | מבקשי מקלט עומדים בתור למתקן רשות האוכלוסין וההגירה בבני ברק (1500×872, ×1.28)",—
מהגרים,הילדים מהגרים שיועדו לגירוש בגינת לוינסקי בתל אביב,1500×872,1.28,כן,"מהגרי עבודה בשדה כרוב בנגב  (1272×716, ×1.51)","צעירים אפריקאים בדרום תל אביב (1000×563, ×1.92)"
מחאות,עמותים במחאות נגד נתיחת גופות פעוטות בירושלים,1280×960,1.5,כן,"צעדת מחאה נגד ההפיכה המשטרית בתל אביב (1500×872, ×1.28)","מפגינים במסגרת מחאת האוהלים (900×602, ×2.13)"
מחסום,מחסום חיזמא,1600×1156,1.2,כן,"חיילים בודקים רכבים באזור שכם (1500×1002, ×1.28) | חסום צהל בכביש סמוך למטולה (1200×900, ×1.6)",—
מלחמה,חיילים בעזה,1500×872,1.28,כן,"חיילים בצפון רצועת עזה (1500×872, ×1.28) | תקיפה בלבנון (1500×872, ×1.28)",—
מלחמת ה־7 באוקטובר,מחבלי חמאס פורצים את הגדר ב־7 באוקטובר,1500×872,1.28,כן,—,"כוחות צה""ל נלחמים ברצועת עזה  (1024×682, ×1.88) | עשן מיתמר בעזה אחרי הפצצה ישראלית (1024×640, ×1.88)"
מלחמת העצמאות,חיילי חטיבת יפתח עם משוריין הלגיון שחוסל במבצע דני,1600×1078,1.2,כן,"בדיקת חבלה בצינור המים ליישובי הנגב המבודדים, ליד קיבוץ בארי (1600×1030, ×1.2)","הנפת דגל הדיו באילת (785×1200, ×2.45)"
מלחמת השחרור,שיירת אספקה מהשפלה פורצת את המצור ונכנסת לירושלים,1200×1136,1.6,כן,—,"חיילי צה""ל מצטיידים במקלעים שהגיעו מצ'כוסלבקיה (1024×1024, ×1.88) | מבצע ""יואב"", כיבוש באר שבע (1024×832, ×1.88)"
מלחמת התקומה,נתניהו בטקס האזכרה הממלכתי בהר הרצל ,1500×872,1.28,כן,"חיילי צה״ל בעזה (1600×800, ×1.35)","נתניהו בביקור בגבול הצפון (1137×852, ×1.69)"
מלחמת עזה 2023,"רחוב הרוס בח'אן יונס, בדרום רצועת עזה",1600×1067,1.2,כן,"פלסטינים על הריסות מבנה שנהרס בהפצצה ישראלית על ח'אן יונס (1200×800, ×1.6)","חייל צה""ל בלחימה בעזה (1024×683, ×1.88)"
ממשל צבאי,הפגנות לסיום הממשל הצבאי,1391×1080,1.38,כן,"הריסת מסגד בכפר ואדי אל חליל  (1600×1067, ×1.2) | חיילי צה״ל בעזה, האינתיפאדה הראשונה (1400×659, ×1.64)",—
מסתננים,הגדר הפרוצה בגבול עם ירדן לאחר ששני מסתננים מירדן נורו למוות ,2048×1536,0.94,כן,"מסתנן מרצועת עזה שנתפס בידי חיילי צה""ל (1600×1199, ×1.2) | מסתננים דרך פרצה בגדר סמוך למעבר מיתר (1918×820, ×1.32)",—
מעבר,חיילים במעבר רפיח,1500×872,1.28,כן,"מבצע בית וגן (1280×853, ×1.5) | חיילים במעבר ארז במהלך חרבות ברזל (1200×803, ×1.6)",—
מעצר מנהלי,"אלחי כרמלי, תושב השומרון שנעצר לאחר רצח הנער בנימין אחימאיר הי""ד בשחרור ממעצר מנהלי",1200×1044,1.6,כן," מעצר אזרחית פלסטינית בכרמיאל (1200×802, ×1.6) | יאיר אטינגר, נכדו של הרב כהנא שהושם במעצר מנהלי (1200×800, ×1.6)",—
מפונים,מפונים מקיבוץ בארי במלון,2000×1333,0.96,כן,"מפונים מעוטף עזה במלון יערים (2200×1279, ×0.87) | מלון כפר המכביה ברמת גן, שקלט מפונים מאשקלון ונתיבות (1500×872, ×1.28)",—
מצור,השוק בג'באליה,2560×1707,0.75,כן,"ילדים בעזה (2560×1707, ×0.75) | פלסטינים בנקודת חלוקת מים בצפון רצועת עזה (1600×1067, ×1.2)",—
מתקפת ה־7 באוקטובר,פגיעה ישירה של רקטה שנורתה מעזה לאשקלון 17.26.48,2280×1520,0.84,כן,"פלסטינים מצטלמים עם טנק צה""לי בוער ב-7 באוקטובר (1600×900, ×1.2) | מחבלי הנוחבה באחד מבסיסי צה""ל ב–7 באוקטובר (1300×826, ×1.48)",—
נהרג,מיגונית בעוטף,8192×5464,0.23,כן,"רכב הרוג לאחר תאונה (1600×1200, ×1.2)","""הצילו"". השלט שהכינו החטופים (1024×577, ×1.88)"
נוטרל,זירת פיגוע בצומת ניר צבי,6391×4261,0.3,כן,"זירת הפיגוע בכביש 60 (1600×1066, ×1.2) | זירת פיגוע בכביש 4 (1599×1066, ×1.2)",—
נזק אגבי,תושבי חיפה שוהים בתחנת הכרמלית בזמן התקפת טילים איראנית,1500×1001,1.28,כן,"הרס מפגיעת טיל איראני ברמת גן (1500×872, ×1.28) | נביל אבו לאבדה נושא את גופת בתו מנה בת השש בהלוויתה בחאן יונס (1500×872, ×1.28)",—
נספה,אסירים במחנה ההשמדה אושוויץ בירקנאו,1500×872,1.28,כן,"הלוויה של חייל (1500×872, ×1.28)","זירת שריפה באשדוד בה נספה ילד בן עשר (1044×587, ×1.84)"
נערי גבעות,בית שהוצת על ידי נערי גבעות,4094×2380,0.47,כן,"מתנחלים במאחז שהקימו בין הכפרים דליה וקבון, מזרחית לבית אל (1500×1154, ×1.28)","מתנחלים מחוות מעון רועים בחלקות פרטיות של תושבי הכפר תוואני (1100×1294, ×1.75)"
נפל,הלוויה צבאית,1600×1067,1.2,כן,"קבר בבית עלמין צבאי (1600×1064, ×1.2)","בית עלמין צבאי (960×640, ×2)"
נרצח,הפגנה נגד הפשיעה בחברה הערבית,1600×1067,1.2,כן,"לאחר רצח ותאונה צה״ל מתגבר כוחות ביו״ש (1600×1051, ×1.2)","הפגנה נגד רצח נשים בת""א (1026×684, ×1.87)"
סגר,ילדים ממלאים מים בדליים בעיר עזה,2000×1500,0.96,כן,"סגר בעזה (1500×872, ×1.28)","כלי שיט פלסטיני שהפר את הסגר הימי על עזה ונעצר ע״י חיל הים (642×361, ×2.99)"
סיוע הומניטרי,חלוקת סיוע הומניטרי בעזה,1920×1280,1,כן,"לדים פלסטינים ממתינים לארוחה חמה שמכינים מתנדבים ברפיח (1280×828, ×1.5) | מטען הומניטרי של האיחוד האירופי משונע למזח האמריקאי בעזה (1200×787, ×1.6)",—
סיכול ממוקד,סיכול ממוקד באמצעות מסוק קרב של חיל האוויר הישראלי המשגר טיל לעבר חוליית משגרי רקטות ברצועת עזה ,1571×884,1.22,כן,—,"סיכול ממוקד בנבטיה (800×600, ×2.4) | סיכול ממוקד בעזה (800×450, ×2.4)"
סילוואן,ציורי קיר של עיניים בסילוואן,1890×1417,1.02,כן,"שכונת סילוואן במזרח ירושלים (1500×872, ×1.28)","אחד מציורי הקיר בפרויקט אמנות הרחוב ""אני עד לסילוואן"" (1000×749, ×1.92)"
עולים,עולים מצרפת,1600×1066,1.2,כן,"עולים מאתיופיה (1460×990, ×1.32) | עולים מברית המועצות (1175×800, ×1.63)",—
עיירות פיתוח,בית מקורי מימי ראשית עיירת הפיתוח בשדרות,1600×1200,1.2,כן,"השוק הישן ביהוד (1600×1200, ×1.2) | השיכון הראשון בכרמיאל (1200×900, ×1.6)",—
עיירות פריפריה,מבנה שיכון בדימונה,1600×1200,1.2,כן,"שכונה ה’ באר שבע  (1600×1200, ×1.2)","מבנה שעבר “שיקום שכונות” באופקים, ועליו שלט “למכירה” (1024×683, ×1.88)"
עיר דוד,בית מיוחס בעיר דוד,3264×2448,0.59,כן,"חפירות חניון גבעתי בעיר דוד (1200×800, ×1.6)","עיר דוד (1600×620, ×1.74)"
ענישה,מחסום סווחרה ליד ירושלים,1500×872,1.28,כן,"אסירים פלסטינים בכלא בדרום (1200×800, ×1.6)","פלסטינים מחכים במחסום ארז (720×480, ×2.67)"
עקורים,הריסות בח׳אן יונס,1600×1067,1.2,כן,"עקורים פלסטינים בעזה (1500×975, ×1.28)","מחנה עקורים ברפיח (740×493, ×2.59)"
עקירה,ילד פלסטיני ישן בחורבות ביתו ההרוס בשכונת שג׳עייה שבעיר עזה,4983×3187,0.39,כן,"פלסטינים נמלטים דרומה (2280×1520, ×0.84) | פלסטינים נמלטים מבתיהם בצפון הרצועה (1500×1001, ×1.28)",—
ערבים ישראליים,הנהגת הציבור הערבי בישראל מציינת את יום האדמה ה-40,3840×2560,0.5,כן,—,"צעירים ערבים בישראל (1000×666, ×1.92) | ערביי ישראל (800×500, ×2.4)"
פגיעה בבלתי מעורבים,קיבוץ ניר עוז,2048×1366,0.94,כן,"ההריסות בעזה לאחר תקיפות צה""ל ברצועה (1200×800, ×1.6)","תקיפת צה""ל בעזה (740×487, ×2.59)"
פיגוע,זירת פיגוע בצומת רמות בירושלים,2560×1707,0.75,כן,"זירת פיגוע בצות תפוח (2048×1365, ×0.94)","שרידי אוטובוס בפיגוע קו 5 בתל אביב (800×531, ×2.4)"
פינוי,"פינוי הישובים במלחמת ""חרבות הברזל""",1386×924,1.39,כן,—,"צה""ל בכבישי גבול הצפון  (730×500, ×2.63) | פינוי ביישוב נווה דקלים (740×485, ×2.59)"
פליטים,"מהגרים, רובם מאריתריאה, קופצים למים במבצע חילוץ של ארגון לא־ממשלתי בים התיכון",1600×1084,1.2,כן,"פליטים סודאנים מפגינים מחוץ לשגרירות האיחוד האירופי בתל אביב (1600×1067, ×1.2) | מפגינים אריתריאים מול משרד החוץ בירושלים (1600×1066, ×1.2)",—
פלישה,מצטלמות על רקע הריסת הבתים ברצועת עזה,1600×1066,1.2,כן,"כוח רדואן (1200×800, ×1.6) | ה־7 באוקטובר (1200×718, ×1.6)",—
פלסטין,הכנסייה המארונית בבניאס,1326×765,1.45,כן,"ח’רבת אל-זכור (1326×765, ×1.45) | מיעאר (1326×765, ×1.45)",—
פלסטינים אזרחי ישראל,הפגנה באום אל־פחם ,1600×900,1.2,כן,"שוטרי מג""ב עוצרים פועלים פלסטינים (1200×802, ×1.6)","כוחות הביטחון הישראליים חוסמים את דרכם של מפגינים פלסטינים (700×393, ×2.75)"
פעולה מבצעית,צק״פ גדוד שחר במהלך פעילות מבצעית,6000×4000,0.32,כן,"מפקדת גדוד שחר במהלך פעילות מבצעית בלב הרצועה (1600×1067, ×1.2) | צלמים מתעדים שוטרי מג""ב במחסום קלנדיה (1600×1067, ×1.2)",—
פעולת התנגדות,פלסטינים מוחים מול כוחות ישראליים ליד גדר ההפרדה בין רצועת עזה לישראל,1200×802,1.6,כן,—,"מפגינים באיטליה למען פלסטין עם כרזת ״התנגדות לכיבוש אינה עבירה"" (960×642, ×2) | פלסטינים מול כוחות הביטחון הישראליים (720×480, ×2.67)"
פעולת טרור,פעולת טרור בחדרה,1600×1200,1.2,כן,—,"בקבוקי תבערה שאותרו במזרח ירושלים (689×690, ×2.79) | לוחמי משמר הגבול בזירת פעולת טרור בירושלים (960×567, ×2)"
פרעות תרפ״ט,שריפת הרטוב,5156×3542,0.37,כן,—,"מרפאת ""הדסה"" הרוסה (640×449, ×3) | פינוי האוכלוסייה היהודית בחברון (640×430, ×3)"
פרשת דיר יאסין,דיר יאסין ב־1948,1600×890,1.21,כן,—,"כנס בנושא פרשת דיר יאסין, אוניבסיטת בר אילן (960×640, ×2) | הכפר דיר יאסין לאחר  שנכבש ע""י לוחמי האצ""ל  (750×422, ×2.56)"
